Decimal	      Binary	Octal    Hex	CHAR
142	10001110	216	0x8E	Ž
143	10001111	217	0x8F	
144	10010000	220	0x90	
145	10010001	221	0x91	‘
146	10010010	222	0x92	’
147	10010011	223	0x93	“
148	10010100	224	0x94	”
149	10010101	225	0x95	•
150	10010110	226	0x96	–
151	10010111	227	0x97	—
152	10011000	230	0x98	˜
153	10011001	231	0x99	™
154	10011010	232	0x9A	š
155	10011011	233	0x9B	›
156	10011100	234	0x9C	œ
157	10011101	235	0x9D	
158	10011110	236	0x9E	ž
159	10011111	237	0x9F	Ÿ
160	10100000	240	0xA0	 
161	10100001	241	0xA1	¡
162	10100010	242	0xA2	¢
163	10100011	243	0xA3	£
164	10100100	244	0xA4	¤
165	10100101	245	0xA5	¥
166	10100110	246	0xA6	¦
167	10100111	247	0xA7	§
168	10101000	250	0xA8	¨
169	10101001	251	0xA9	©
170	10101010	252	0xAA	ª
171	10101011	253	0xAB	«
172	10101100	254	0xAC	¬
173	10101101	255	0xAD	­
174	10101110	256	0xAE	®
175	10101111	257	0xAF	¯
176	10110000	260	0xB0	°
177	10110001	261	0xB1	±
178	10110010	262	0xB2	²
179	10110011	263	0xB3	³
180	10110100	264	0xB4	´
181	10110101	265	0xB5	µ
182	10110110	266	0xB6	¶
183	10110111	267	0xB7	·
184	10111000	270	0xB8	¸
185	10111001	271	0xB9	¹
186	10111010	272	0xBA	º
187	10111011	273	0xBB	»
188	10111100	274	0xBC	¼
189	10111101	275	0xBD	½
190	10111110	276	0xBE	¾
191	10111111	277	0xBF	¿
192	11000000	300	0xC0	À
193	11000001	301	0xC1	Á
194	11000010	302	0xC2	Â
195	11000011	303	0xC3	Ã
196	11000100	304	0xC4	Ä
197	11000101	305	0xC5	Å
198	11000110	306	0xC6	Æ
199	11000111	307	0xC7	Ç
200	11001000	310	0xC8	È
201	11001001	311	0xC9	É
202	11001010	312	0xCA	Ê
203	11001011	313	0xCB	Ë
204	11001100	314	0xCC	Ì
205	11001101	315	0xCD	Í
206	11001110	316	0xCE	Î
207	11001111	317	0xCF	Ï
208	11010000	320	0xD0	Ð
209	11010001	321	0xD1	Ñ
210	11010010	322	0xD2	Ò
211	11010011	323	0xD3	Ó
212	11010100	324	0xD4	Ô
213	11010101	325	0xD5	Õ
214	11010110	326	0xD6	Ö
215	11010111	327	0xD7	×
216	11011000	330	0xD8	Ø
217	11011001	331	0xD9	Ù
218	11011010	332	0xDA	Ú
219	11011011	333	0xDB	Û
220	11011100	334	0xDC	Ü
221	11011101	335	0xDD	Ý
222	11011110	336	0xDE	Þ
223	11011111	337	0xDF	ß
224	11100000	340	0xE0	à
225	11100001	341	0xE1	á
226	11100010	342	0xE2	â
227	11100011	343	0xE3	ã
228	11100100	344	0xE4	ä
229	11100101	345	0xE5	å
230	11100110	346	0xE6	æ
231	11100111	347	0xE7	ç
232	11101000	350	0xE8	è
233	11101001	351	0xE9	é
234	11101010	352	0xEA	ê
235	11101011	353	0xEB	ë
236	11101100	354	0xEC	ì
237	11101101	355	0xED	í
238	11101110	356	0xEE	î
239	11101111	357	0xEF	ï
240	11110000	360	0xF0	ð
241	11110001	361	0xF1	ñ
242	11110010	362	0xF2	ò
243	11110011	363	0xF3	ó
244	11110100	364	0xF4	ô
245	11110101	365	0xF5	õ
246	11110110	366	0xF6	ö
247	11110111	367	0xF7	÷
248	11111000	370	0xF8	ø
249	11111001	371	0xF9	ù
250	11111010	372	0xFA	ú
251	11111011	373	0xFB	û
252	11111100	374	0xFC	ü
253	11111101	375	0xFD	ý
254	11111110	376	0xFE	þ
255	11111111	377	0xFF	ÿ
